Time(s) Ch1(μV) Ch2(μV) Ch3(μV) Ch4(μV)
35.186 -278.93 -248.08 -239.59 -290.37
35.190 -261.81 -231.16 -223.47 -276.18
35.194 -245.94 -214.96 -208.14 -261.90
35.198 -261.94 -230.80 -223.23 -275.53
35.203 -290.66 -260.11 -250.67 -301.79
35.207 -279.89 -249.56 -240.24 -290.93
35.211 -261.54 -231.05 -222.58 -274.52
35.215 -248.04 -217.01 -209.70 -263.68
35.220 -264.42 -233.62 -226.02 -278.55
35.224 -288.09 -257.45 -249.71 -300.77
35.228 -278.82 -248.22 -239.88 -290.77
35.232 -262.16 -231.47 -223.05 -275.06
35.237 -251.14 -220.48 -212.52 -265.58
35.241 -261.76 -231.30 -222.94 -275.35
35.245 -285.81 -255.55 -246.70 -297.48
35.249 -280.07 -249.29 -240.75 -291.58
35.254 -261.54 -230.80 -223.18 -275.57
35.258 -249.13 -218.60 -210.93 -264.35
35.262 -262.74 -232.30 -224.28 -276.74
35.266 -288.00 -257.74 -249.47 -300.07
35.271 -282.08 -251.43 -243.05 -293.12
35.275 -258.05 -227.34 -219.43 -271.44
35.279 -244.62 -213.55 -206.33 -259.41
35.283 -265.56 -234.85 -226.98 -280.00
35.288 -246.56 -215.63 -208.70 -261.43
35.292 -262.95 -232.44 -225.02 -276.89
35.296 -286.55 -255.61 -246.99 -297.12
35.300 -283.93 -252.64 -244.24 -294.69
35.304 -261.85 -231.05 -223.34 -275.19
35.308 -248.15 -217.86 -210.46 -264.11
35.312 -263.44 -233.40 -225.75 -278.41
35.316 -284.02 -253.78 -245.00 -295.11
35.320 -277.92 -247.23 -239.30 -290.26
35.324 -262.45 -231.68 -223.92 -276.02
35.328 -249.33 -218.35 -210.96 -264.33
35.332 -260.60 -229.91 -221.42 -273.05
35.336 -286.33 -255.59 -247.68 -298.42
35.340 -280.16 -249.27 -241.91 -293.01
35.344 -263.12 -232.15 -224.48 -277.09
35.348 -249.47 -218.13 -210.91 -264.60
35.352 -263.62 -232.68 -224.95 -276.98
35.356 -283.33 -252.71 -244.48 -294.75
35.360 -278.95 -247.88 -240.10 -290.73
35.364 -261.87 -230.94 -223.18 -275.46
35.368 -247.17 -216.39 -209.46 -262.77
35.373 -265.18 -234.89 -226.96 -279.13
35.377 -284.72 -254.14 -245.67 -296.18
35.381 -274.10 -243.59 -235.39 -286.01
35.385 -260.38 -229.69 -222.94 -275.19
35.389 -248.73 -218.06 -211.09 -264.38
35.393 -267.98 -237.17 -228.48 -280.65
35.397 -290.15 -259.44 -250.83 -301.01
35.401 -282.50 -251.68 -244.06 -294.93
35.405 -261.65 -230.58 -223.20 -275.53
35.409 -243.05 -212.39 -205.05 -258.74
35.413 -262.74 -232.10 -223.88 -276.04
35.417 -289.84 -259.26 -250.54 -300.65
35.421 -279.49 -248.93 -240.71 -291.51
35.425 -261.22 -230.25 -222.82 -274.99
35.429 -247.01 -216.12 -208.56 -261.90
35.433 -266.30 -236.17 -227.70 -279.98
35.437 -261.34 -230.49 -223.45 -275.51
35.458 -245.29 -214.46 -207.85 -261.05
35.478 -264.67 -233.71 -226.58 -278.75
35.499 -285.23 -254.81 -247.66 -298.57
35.519 -274.73 -243.84 -237.24 -287.94
35.539 -257.25 -226.13 -218.73 -270.10
35.560 -243.66 -212.65 -205.50 -258.14
35.580 -262.92 -232.28 -224.99 -277.36
35.600 -283.87 -253.07 -245.58 -295.85
35.621 -280.09 -249.45 -242.29 -293.10
35.641 -263.06 -231.72 -225.62 -278.41
35.662 -247.19 -215.90 -209.06 -262.28
35.682 -259.70 -229.04 -221.39 -273.18
35.702 -284.38 -253.09 -245.33 -295.85
35.723 -273.43 -242.09 -235.16 -286.48
35.743 -257.87 -226.98 -219.78 -271.95
35.764 -251.39 -220.54 -213.44 -266.30
35.784 -262.16 -231.01 -223.65 -275.71
35.804 -285.54 -254.56 -247.01 -297.93
35.825 -278.15 -247.34 -240.01 -291.15
35.845 -258.97 -227.79 -221.08 -273.27
35.866 -244.89 -213.82 -207.47 -260.42
35.886 -259.68 -228.88 -222.40 -274.28
35.906 -284.52 -253.49 -245.96 -295.67
35.927 -278.73 -248.08 -240.55 -291.62
35.947 -259.08 -227.97 -221.68 -274.12
35.968 -245.22 -214.31 -208.23 -261.38
35.988 -262.83 -232.28 -224.52 -276.65
36.008 -285.59 -254.72 -246.36 -296.29
36.029 -276.47 -245.33 -238.29 -288.99
36.049 -259.03 -227.74 -221.15 -273.56
36.070 -246.36 -215.22 -208.70 -262.16
36.090 -254.74 -224.05 -217.15 -269.27
36.110 -286.93 -255.75 -248.28 -298.87
36.131 -281.77 -250.61 -243.79 -295.07
36.151 -256.02 -224.84 -217.35 -268.87
36.172 -246.52 -215.45 -208.81 -262.12
36.192 -260.42 -229.57 -222.24 -274.23
36.196 -245.67 -214.73 -207.92 -260.76
36.200 -260.67 -229.87 -222.67 -274.84
36.204 -282.12 -251.21 -244.13 -294.24
36.208 -273.45 -242.49 -235.83 -285.90
36.212 -258.10 -226.56 -220.54 -272.18
36.216 -250.38 -219.07 -212.59 -264.76
36.220 -262.79 -232.03 -225.15 -276.94
36.224 -285.95 -255.17 -247.55 -298.42
36.227 -278.08 -246.70 -240.30 -291.56
36.231 -256.46 -225.33 -218.47 -270.34
36.235 -246.70 -215.43 -208.88 -261.45
36.239 -261.65 -229.98 -223.20 -275.26
36.243 -287.31 -256.37 -249.53 -300.92
36.247 -276.51 -245.56 -238.27 -288.47
36.251 -259.06 -227.50 -220.86 -272.89
36.255 -246.29 -214.82 -208.27 -261.14
36.259 -261.20 -230.22 -223.16 -274.97
36.263 -285.12 -254.05 -246.20 -296.41
36.267 -278.86 -247.52 -240.17 -291.24
36.271 -255.39 -224.28 -217.64 -270.37
36.275 -244.71 -213.71 -207.07 -259.66
36.279 -266.01 -234.89 -227.81 -279.78
36.283 -280.00 -249.24 -241.33 -291.58
36.287 -275.35 -244.17 -236.77 -286.91
36.291 -259.32 -227.85 -221.44 -273.79
36.294 -245.80 -214.98 -209.75 -264.22
36.298 -255.88 -224.88 -218.02 -269.38
36.302 -290.44 -259.44 -250.74 -300.54
36.306 -283.69 -252.51 -245.62 -296.85
36.310 -258.48 -227.36 -220.63 -272.91
36.314 -242.43 -211.16 -204.92 -257.85
36.318 -258.50 -227.41 -220.86 -272.85
36.322 -284.05 -252.84 -245.29 -295.45
36.326 -276.16 -245.24 -237.80 -288.02
36.330 -250.36 -219.07 -212.97 -264.98
36.334 -248.82 -217.64 -211.40 -264.73
36.338 -258.48 -227.36 -220.63 -272.91
36.342 -242.43 -211.16 -204.92 -257.85
36.346 -258.50 -227.41 -220.86 -272.85
36.350 -284.05 -252.84 -245.29 -295.45
36.354 -276.16 -245.24 -237.80 -288.02
36.358 -250.36 -219.07 -212.97 -264.98
36.362 -248.82 -217.64 -211.40 -264.73
36.366 -267.89 -236.95 -229.87 -281.70
36.370 -287.09 -256.15 -248.42 -298.66
36.374 -278.66 -247.57 -240.19 -290.93
36.378 -259.55 -228.64 -221.80 -274.30
36.382 -243.01 -212.05 -206.13 -259.70
36.386 -264.69 -233.87 -226.71 -278.39
36.390 -283.24 -252.62 -244.60 -294.01
36.394 -275.71 -244.84 -237.42 -287.87
36.398 -256.42 -225.33 -218.80 -271.15
36.402 -242.67 -211.67 -205.21 -257.94
36.406 -262.88 -231.59 -225.46 -278.41
36.410 -288.14 -257.02 -249.89 -300.43
36.414 -278.64 -247.86 -240.44 -290.10
36.418 -254.50 -223.16 -217.26 -269.96
36.422 -244.42 -213.01 -206.51 -259.88
36.426 -264.06 -233.17 -225.91 -277.54
36.431 -283.76 -253.11 -245.62 -295.69
36.435 -275.17 -244.48 -236.79 -287.49
36.439 -258.54 -227.63 -220.90 -273.38
36.443 -244.10 -213.03 -206.89 -260.42
36.447 -261.67 -230.58 -224.05 -276.02
36.451 -285.10 -254.12 -246.81 -297.01
36.455 -276.20 -245.53 -238.29 -289.48
36.459 -257.49 -226.62 -219.65 -271.66
36.463 -243.88 -212.90 -206.73 -259.59
36.467 -257.65 -226.78 -220.30 -272.60
36.471 -281.23 -250.05 -242.94 -293.23
36.475 -278.30 -247.72 -240.06 -290.28
36.479 -261.05 -229.93 -223.09 -275.28
36.483 -248.48 -217.42 -211.20 -264.71
36.487 -257.38 -226.22 -219.70 -271.55
36.491 -249.15 -217.75 -211.60 -264.69
36.495 -258.74 -227.56 -221.33 -273.45
36.499 -285.83 -254.90 -246.85 -296.70
36.503 -280.67 -249.71 -242.11 -292.94
36.507 -256.46 -225.06 -218.60 -270.66
36.511 -241.26 -209.59 -203.65 -256.62
36.515 -266.05 -234.67 -227.47 -279.46
36.519 -284.69 -253.94 -246.09 -295.87
36.524 -277.45 -246.63 -239.88 -290.48
36.528 -257.38 -226.36 -220.10 -272.31
36.532 -242.18 -211.11 -205.05 -258.36
36.536 -265.96 -235.14 -228.19 -280.78
36.540 -284.72 -254.01 -246.32 -296.70
36.544 -275.28 -244.39 -237.42 -287.62
36.548 -258.52 -227.32 -220.81 -272.83
36.552 -245.69 -214.33 -208.25 -261.76
36.556 -259.48 -228.70 -221.71 -273.97
36.560 -281.90 -251.30 -243.72 -293.30
36.564 -276.16 -244.91 -238.67 -289.63
36.568 -256.82 -225.55 -218.87 -271.17
36.572 -245.51 -214.44 -208.12 -261.54
36.576 -261.11 -230.16 -223.20 -274.88
36.580 -283.35 -252.40 -245.47 -296.16
36.585 -274.21 -242.72 -236.41 -287.31
36.589 -258.45 -226.78 -220.39 -272.07
36.593 -245.11 -213.55 -207.92 -261.00
36.597 -260.60 -229.66 -222.65 -274.73
36.601 -285.23 -254.23 -246.85 -297.48
36.605 -275.13 -243.84 -236.97 -287.60
36.609 -257.81 -226.65 -220.14 -272.15
36.613 -246.36 -215.16 -208.99 -262.34
36.617 -259.97 -228.93 -221.93 -273.85
36.621 -283.91 -252.95 -245.85 -296.23
36.625 -275.19 -243.88 -237.00 -288.16
36.629 -256.73 -225.62 -219.45 -271.33
36.633 -242.65 -211.43 -205.23 -258.27
36.637 -256.17 -224.61 -218.47 -270.93
36.658 -244.24 -212.48 -206.78 -260.04
36.679 -258.83 -227.81 -221.30 -273.38
36.699 -279.98 -249.02 -241.89 -291.91
36.720 -275.55 -244.17 -236.97 -287.53
36.740 -251.10 -219.43 -214.22 -266.86
36.761 -241.33 -209.59 -204.23 -257.43
36.782 -260.98 -229.53 -223.00 -274.66
36.802 -284.90 -253.76 -246.54 -297.08
36.823 -276.40 -244.86 -238.20 -289.32
36.844 -250.21 -218.26 -212.59 -265.09
36.864 -239.59 -207.85 -202.91 -256.13
36.885 -259.50 -228.17 -222.31 -274.64
36.905 -280.80 -250.14 -242.63 -293.10
36.926 -276.96 -245.56 -238.74 -289.32
36.947 -256.13 -224.95 -218.98 -271.46
36.967 -243.43 -212.03 -205.88 -258.90
36.988 -260.60 -229.15 -223.05 -275.04
37.008 -279.87 -248.15 -241.44 -291.82
37.029 -275.78 -243.77 -237.51 -288.52
37.050 -257.40 -225.80 -219.63 -271.86
37.070 -244.55 -213.03 -207.40 -260.78
37.091 -256.13 -224.68 -218.20 -269.67
37.111 -281.32 -249.65 -242.90 -292.94
37.132 -275.02 -243.77 -236.73 -287.47
37.153 -256.02 -224.48 -218.60 -271.04
37.173 -238.65 -206.80 -201.32 -254.30
37.194 -259.28 -227.70 -221.22 -273.54
37.214 -279.33 -247.99 -241.06 -291.71
37.235 -268.82 -237.76 -231.50 -282.50
37.256 -259.79 -228.23 -222.20 -274.41
37.276 -242.56 -211.02 -204.54 -257.76
37.297 -258.21 -226.85 -220.12 -272.38
37.317 -280.34 -248.98 -242.20 -293.17
37.338 -277.50 -246.07 -239.19 -290.22
37.359 -256.02 -223.79 -218.02 -270.70
37.379 -246.70 -214.62 -209.23 -262.50
37.400 -259.03 -227.79 -222.06 -274.52
37.404 -239.77 -208.39 -202.42 -255.68
37.408 -258.30 -226.62 -220.41 -272.24
37.412 -279.15 -247.61 -241.04 -291.53
37.415 -274.73 -242.90 -236.48 -287.42
37.419 -253.74 -221.53 -215.78 -268.69
37.423 -237.76 -206.11 -200.54 -254.36
37.427 -261.34 -230.07 -223.05 -275.19
37.431 -286.93 -255.75 -248.51 -298.49
37.435 -276.20 -244.89 -238.18 -288.49
37.439 -248.77 -217.19 -210.75 -262.99
37.443 -243.68 -212.23 -206.35 -259.62
37.446 -256.02 -224.57 -218.35 -270.14
37.450 -282.70 -250.90 -244.42 -295.33
37.454 -274.46 -242.83 -236.75 -287.87
37.458 -256.87 -226.04 -219.85 -272.29
37.462 -238.96 -207.67 -201.99 -255.15
37.466 -260.42 -229.24 -222.20 -274.17
37.470 -282.19 -251.03 -243.72 -294.17
37.473 -275.84 -244.39 -237.80 -288.32
37.477 -253.29 -221.68 -216.16 -268.82
37.481 -240.68 -209.37 -204.32 -258.07
37.485 -256.20 -225.10 -218.29 -270.39
37.489 -280.07 -248.62 -241.60 -291.94
37.493 -274.41 -243.05 -236.19 -286.82
37.497 -257.60 -226.40 -219.76 -272.07
37.501 -245.76 -214.38 -208.27 -262.07
37.504 -257.65 -226.78 -220.19 -272.18
37.508 -274.95 -243.57 -236.97 -287.53
37.512 -278.15 -246.12 -239.77 -290.62
37.516 -253.09 -220.97 -215.34 -267.71
37.520 -241.82 -210.29 -204.56 -257.25
37.524 -261.20 -229.82 -223.83 -275.40
37.528 -281.12 -249.98 -242.83 -293.01
37.532 -273.47 -242.34 -235.48 -286.55
37.535 -254.52 -223.23 -217.04 -269.29
37.539 -239.77 -208.45 -202.31 -255.08
37.543 -253.09 -220.97 -215.34 -267.71
37.547 -241.82 -210.29 -204.56 -257.25
37.551 -261.20 -229.82 -223.83 -275.40
37.555 -281.12 -249.98 -242.83 -293.01
37.559 -273.47 -242.34 -235.48 -286.55
37.563 -254.52 -223.23 -217.04 -269.29
37.567 -239.77 -208.45 -202.31 -255.08
37.570 -259.35 -228.26 -221.26 -273.05
37.574 -283.55 -252.40 -245.11 -295.98
37.578 -272.83 -241.67 -234.89 -286.77
37.582 -250.70 -219.61 -213.57 -266.43
37.586 -239.63 -208.09 -202.37 -255.73
37.590 -264.62 -232.84 -226.33 -278.50
37.594 -281.27 -249.76 -243.12 -293.50
37.598 -272.58 -240.71 -234.43 -285.14
37.602 -253.18 -221.30 -215.60 -267.68
37.605 -242.00 -210.29 -204.99 -258.70
37.609 -257.60 -226.29 -220.08 -272.62
37.613 -281.05 -249.98 -242.65 -292.63
37.617 -273.50 -242.07 -235.05 -285.66
37.621 -252.93 -221.42 -215.45 -267.82
37.625 -243.28 -211.76 -205.97 -259.08
37.629 -263.48 -232.28 -225.66 -277.23
37.633 -283.78 -252.55 -245.06 -295.65
37.637 -274.17 -242.81 -236.32 -287.38
37.640 -249.33 -217.75 -211.49 -264.06
37.644 -243.08 -211.94 -205.55 -259.06
37.648 -264.31 -233.17 -226.47 -278.28
37.652 -277.81 -246.29 -239.48 -289.50
37.656 -272.29 -241.04 -233.75 -284.49
37.660 -255.17 -223.76 -217.17 -270.25
37.664 -234.49 -203.18 -197.34 -251.23
37.668 -259.46 -228.28 -221.95 -274.01
37.672 -284.34 -253.07 -246.14 -296.54
37.676 -274.73 -243.16 -236.64 -287.58
37.679 -252.55 -220.81 -215.18 -267.93
37.683 -238.74 -207.36 -201.86 -255.23
37.687 -248.64 -217.19 -210.80 -263.39
37.691 -240.93 -209.12 -203.09 -257.09
37.695 -264.24 -232.73 -226.15 -278.30
37.699 -277.25 -246.00 -239.05 -289.19
37.703 -267.37 -235.92 -229.46 -280.05
37.707 -255.73 -223.88 -217.86 -270.48
37.712 -245.80 -213.93 -208.30 -261.83
37.716 -262.30 -231.03 -224.41 -276.69
37.720 -275.69 -244.22 -236.55 -287.22
37.724 -269.32 -237.87 -230.69 -281.88
37.728 -255.50 -223.67 -217.84 -269.94
37.732 -244.22 -213.03 -207.02 -259.50
37.736 -256.13 -224.81 -218.02 -270.30
37.740 -282.12 -250.65 -244.26 -295.62
37.744 -271.86 -240.53 -233.51 -284.45
37.748 -257.69 -226.00 -219.78 -272.09
37.752 -245.18 -213.39 -207.47 -261.43
37.756 -263.12 -231.43 -225.35 -277.77
37.760 -276.13 -244.46 -238.16 -288.58
37.764 -280.63 -249.31 -242.16 -293.01
37.768 -259.01 -227.65 -221.82 -274.28
37.772 -246.54 -214.91 -209.39 -262.90
37.776 -260.06 -228.21 -221.82 -273.79
37.780 -285.45 -253.83 -246.96 -297.59
37.784 -272.49 -241.15 -234.34 -285.32
37.788 -254.85 -223.18 -217.66 -270.12
37.793 -250.90 -219.27 -213.08 -266.63
37.797 -263.39 -231.94 -224.75 -276.94
37.801 -271.46 -240.57 -232.66 -283.53
37.805 -277.41 -246.70 -239.21 -290.55
37.809 -262.66 -231.30 -224.95 -277.43
37.813 -236.19 -204.65 -198.75 -252.28
37.817 -260.55 -229.13 -222.40 -274.95
37.821 -287.71 -256.60 -249.11 -299.49
37.825 -274.79 -243.52 -236.79 -287.42
37.829 -254.85 -223.29 -217.35 -269.94
37.833 -245.98 -214.26 -208.56 -261.74
37.837 -290.93 -259.55 -251.73 -302.87
37.858 -278.68 -245.74 -242.25 -294.28
37.878 -268.56 -236.44 -229.69 -282.50
37.899 -252.15 -220.37 -212.68 -264.13
37.920 -295.36 -264.22 -255.39 -306.22
37.940 -311.11 -279.13 -271.10 -323.94
37.961 -266.23 -233.26 -231.30 -281.63
37.981 -274.73 -242.83 -236.68 -290.44
38.002 -293.01 -260.26 -255.17 -306.91
38.023 -307.92 -278.79 -268.82 -318.38
38.043 -265.38 -233.53 -226.47 -278.21
38.064 -230.78 -199.58 -192.63 -245.76
38.084 -265.40 -233.64 -226.91 -280.83
38.105 -288.83 -255.75 -250.92 -303.18
38.126 -327.48 -295.76 -288.92 -338.94
38.146 -306.60 -276.51 -267.91 -318.65
38.167 -248.10 -217.62 -208.94 -261.45
38.188 -282.44 -248.66 -245.18 -298.62
38.208 -309.12 -278.01 -272.83 -323.07
38.229 -275.51 -246.00 -237.96 -287.49
38.249 -247.30 -215.65 -206.95 -259.24
38.270 -258.65 -227.52 -221.15 -273.50
38.291 -273.59 -240.30 -238.18 -291.51
38.311 -287.06 -254.27 -250.07 -301.28
38.332 -311.67 -282.57 -271.82 -321.19
38.352 -276.36 -245.67 -236.57 -288.16
38.373 -278.41 -247.12 -239.28 -292.38
38.394 -248.89 -217.57 -211.60 -264.62
38.414 -267.08 -235.03 -228.97 -281.43
38.435 -310.58 -279.20 -270.81 -322.22
38.456 -305.59 -274.46 -267.51 -319.81
38.476 -246.74 -215.74 -209.19 -261.45
38.497 -246.67 -215.18 -208.94 -261.90
38.517 -287.69 -255.39 -248.93 -300.34
38.538 -312.08 -281.45 -273.90 -323.43
38.559 -321.64 -289.72 -284.18 -334.92
38.579 -287.89 -255.91 -251.23 -302.96
38.600 -299.09 -267.53 -259.97 -311.74
38.604 -253.63 -221.93 -214.64 -266.90
38.608 -242.76 -211.98 -205.37 -258.81
38.612 -294.69 -263.17 -256.91 -310.04
38.615 -334.27 -302.11 -296.07 -346.14
38.619 -319.14 -287.94 -282.06 -330.81
38.623 -218.73 -188.81 -179.73 -232.61
38.627 -263.53 -230.69 -225.33 -279.64
38.631 -310.89 -279.82 -273.41 -324.86
38.635 -296.36 -265.54 -257.51 -308.57
38.639 -337.94 -306.38 -300.23 -350.97
38.643 -293.10 -260.11 -256.20 -308.23
38.646 -243.61 -212.81 -203.87 -258.03
38.650 -273.79 -243.34 -234.60 -288.05
38.654 -294.95 -262.70 -255.99 -307.18
38.658 -377.23 -343.57 -340.06 -390.40
38.662 -270.21 -239.99 -233.37 -284.43
38.666 -211.25 -181.25 -172.47 -226.51
38.670 -262.28 -229.98 -224.77 -277.32
38.674 -329.44 -297.75 -292.38 -341.58
38.677 -299.11 -268.56 -260.76 -311.09
38.681 -254.56 -223.58 -213.50 -268.53
38.685 -263.46 -232.10 -225.55 -279.67
38.689 -316.23 -285.59 -277.88 -330.27
38.693 -310.22 -278.66 -271.48 -322.20
38.697 -271.66 -239.70 -233.11 -284.58
38.701 -276.85 -245.85 -239.68 -292.41
38.705 -271.22 -239.68 -234.22 -287.64
38.709 -289.48 -255.93 -251.03 -304.03
38.712 -329.62 -297.43 -292.29 -342.52
38.716 -299.98 -270.30 -262.30 -313.59
38.720 -269.76 -238.56 -229.33 -282.68
38.724 -266.72 -236.53 -227.67 -281.45
38.728 -299.49 -267.68 -262.66 -314.22
38.732 -383.94 -351.44 -349.34 -398.89
38.736 -304.07 -271.04 -269.67 -319.12
38.740 -216.68 -186.41 -174.54 -229.71
38.743 -299.98 -270.30 -262.30 -313.59
38.747 -269.76 -238.56 -229.33 -282.68
38.751 -266.72 -236.53 -227.67 -281.45
38.755 -299.49 -267.68 -262.66 -314.22
38.759 -383.94 -351.44 -349.34 -398.89
38.763 -304.07 -271.04 -269.67 -319.12
38.767 -216.68 -186.41 -174.54 -229.71
38.771 -261.67 -232.12 -223.05 -277.27
38.775 -292.36 -260.87 -254.34 -307.09
38.779 -323.65 -291.11 -286.24 -336.89
38.782 -295.58 -265.36 -253.89 -305.73
38.786 -273.85 -242.67 -234.72 -288.54
38.790 -291.02 -256.80 -254.27 -307.29
38.794 -315.11 -282.48 -280.00 -330.56
38.798 -306.31 -275.62 -269.38 -319.27
38.802 -254.63 -223.67 -214.76 -267.35
38.806 -266.32 -235.59 -226.89 -280.98
38.810 -273.29 -240.30 -235.36 -290.08
38.814 -317.10 -284.05 -279.22 -331.12
38.818 -345.02 -314.47 -308.54 -357.16
38.821 -304.54 -272.89 -265.99 -318.74
38.825 -252.89 -219.18 -216.88 -269.29
38.829 -287.98 -258.05 -250.59 -303.80
38.833 -291.11 -262.39 -252.80 -305.15
38.837 -349.49 -316.55 -312.30 -362.34
38.841 -314.06 -278.59 -277.07 -327.52
38.845 -235.57 -204.45 -194.82 -247.72
38.849 -263.19 -231.12 -223.43 -279.35
38.853 -296.14 -263.73 -257.98 -311.70
38.857 -335.08 -302.80 -297.39 -348.40
38.861 -303.27 -271.48 -264.91 -316.32
38.864 -269.87 -239.05 -232.68 -284.58
38.868 -306.15 -275.62 -270.48 -323.36
38.872 -283.93 -252.62 -246.34 -298.55
38.876 -277.65 -243.79 -237.24 -289.99
38.880 -293.70 -262.95 -256.78 -307.49
38.884 -292.41 -259.55 -254.65 -307.72
38.888 -320.77 -287.80 -283.84 -335.97
38.892 -300.59 -268.82 -263.95 -315.94
38.896 -262.88 -232.59 -225.62 -279.04
38.900 -235.16 -202.73 -194.24 -250.09
38.904 -326.49 -291.94 -288.45 -340.28
38.908 -337.04 -305.06 -303.65 -352.11
38.912 -316.63 -288.27 -281.50 -333.49
38.916 -234.85 -203.11 -193.68 -249.98
38.920 -272.24 -241.33 -232.21 -285.74
38.924 -350.56 -317.13 -315.41 -366.21
38.928 -347.90 -312.72 -312.84 -363.37
38.932 -240.12 -208.52 -201.39 -256.02
38.936 -240.75 -209.82 -200.18 -256.67
38.940 -296.81 -264.53 -256.84 -310.26
38.944 -349.58 -317.42 -311.32 -362.01
38.949 -309.66 -274.50 -275.93 -326.76
38.953 -233.89 -203.27 -195.89 -248.57
38.957 -248.71 -220.54 -207.16 -262.81
38.961 -289.97 -258.97 -250.21 -304.25
38.965 -355.48 -323.45 -319.23 -369.74
38.969 -322.92 -290.66 -286.91 -337.62
38.973 -291.73 -260.02 -253.85 -307.00
38.977 -260.76 -227.92 -223.05 -278.46
38.981 -299.38 -269.03 -263.88 -315.54
38.985 -345.33 -313.46 -308.41 -359.13
38.989 -301.21 -268.13 -263.26 -316.03
38.993 -257.13 -227.00 -217.93 -271.98
38.997 -251.17 -220.77 -213.48 -268.80
39.001 -285.03 -252.04 -246.72 -300.23
39.005 -355.48 -320.46 -318.87 -370.10
39.009 -325.02 -290.35 -292.56 -341.85
39.013 -236.41 -207.85 -198.08 -250.94
39.017 -299.76 -270.77 -257.45 -313.91
39.021 -326.11 -294.77 -292.56 -343.86
39.025 -305.35 -273.27 -268.98 -321.24
39.029 -286.80 -255.23 -247.23 -300.50
39.034 -252.49 -220.30 -213.55 -267.75
39.038 -248.39 -215.94 -205.95 -261.18
39.202 -278.03 -244.93 -236.12 -290.04
39.367 -276.71 -243.95 -233.67 -286.86
39.532 -269.00 -236.91 -226.33 -280.34
39.697 -247.01 -213.71 -205.55 -261.16
39.861 -241.22 -208.61 -199.09 -254.21
40.026 -280.63 -249.60 -237.20 -290.60
40.191 -272.36 -240.21 -229.49 -281.88
40.356 -254.25 -221.44 -211.65 -265.32
40.520 -247.68 -215.14 -205.73 -260.71
40.685 -246.81 -214.55 -204.12 -259.50
40.850 -272.07 -239.74 -229.37 -283.13
41.015 -287.85 -255.86 -244.33 -297.08
41.179 -272.60 -239.63 -229.71 -283.62
41.344 -244.08 -211.31 -203.20 -258.03
41.509 -243.84 -211.49 -202.04 -258.03
41.674 -276.20 -244.08 -233.71 -288.34
41.838 -290.39 -258.77 -247.99 -300.41
42.003 -267.80 -235.05 -225.91 -278.88
42.168 -239.74 -207.20 -197.63 -252.17
42.333 -244.28 -211.83 -201.48 -256.60
42.497 -265.45 -233.26 -222.67 -275.98
42.662 -281.12 -248.80 -238.40 -290.77
42.827 -270.46 -238.43 -228.64 -281.68
42.992 -247.90 -215.45 -206.62 -261.43
43.156 -244.13 -211.94 -202.19 -257.87
43.321 -264.73 -231.92 -222.09 -276.07
43.486 -275.75 -243.88 -232.73 -285.57
43.651 -263.35 -231.36 -220.88 -274.50
43.815 -253.22 -220.68 -211.47 -266.46
43.980 -254.77 -222.40 -212.77 -267.89
44.145 -264.40 -231.94 -221.66 -275.66
44.310 -277.79 -246.29 -234.65 -287.42
44.474 -270.50 -238.09 -227.50 -281.50
44.639 -243.43 -210.37 -201.59 -256.69
44.804 -241.49 -209.30 -200.03 -254.97
44.969 -269.00 -237.49 -226.85 -280.20
45.133 -254.77 -222.40 -212.77 -267.89
45.138 -264.40 -231.94 -221.66 -275.66
45.142 -277.79 -246.29 -234.65 -287.42
45.146 -270.50 -238.09 -227.50 -281.50
45.150 -243.43 -210.37 -201.59 -256.69
45.154 -241.49 -209.30 -200.03 -254.97
45.158 -269.00 -237.49 -226.85 -280.20
45.163 -286.64 -254.83 -244.64 -296.88
45.167 -273.52 -241.26 -231.72 -285.07
45.171 -239.14 -206.04 -197.19 -251.95
45.175 -243.32 -210.98 -200.12 -255.44
45.179 -280.38 -247.70 -237.67 -291.42
45.183 -292.16 -259.55 -249.78 -302.31
45.188 -259.41 -226.67 -217.06 -270.68
45.192 -237.00 -204.56 -194.50 -249.76
45.196 -244.15 -211.20 -201.55 -257.72
45.200 -266.57 -234.27 -224.79 -278.66
45.204 -276.63 -243.86 -234.38 -286.68
45.208 -272.27 -239.88 -229.80 -282.97
45.213 -250.36 -218.13 -207.92 -262.57
45.217 -246.25 -213.75 -203.94 -259.24
45.221 -262.12 -230.63 -219.85 -273.47
45.225 -278.01 -245.69 -235.79 -288.34
45.229 -272.07 -240.06 -229.42 -283.26
45.233 -256.04 -224.21 -213.82 -268.80
45.238 -245.85 -213.44 -203.47 -258.88
45.242 -267.86 -235.68 -225.39 -279.04
45.246 -285.10 -252.91 -242.76 -294.93
45.250 -265.63 -232.55 -222.82 -276.45
45.254 -244.48 -210.80 -203.22 -258.30
45.258 -245.76 -213.10 -203.58 -259.24
45.263 -265.56 -233.64 -221.86 -275.98
45.267 -274.59 -243.01 -232.06 -285.01
45.271 -264.64 -232.55 -221.80 -275.15
45.275 -252.57 -220.41 -210.84 -265.25
45.279 -249.33 -216.74 -208.14 -262.97
45.283 -257.22 -224.17 -215.02 -268.31
45.287 -248.64 -216.01 -206.11 -261.22
45.292 -259.59 -227.27 -216.72 -270.70
