Time(s) Ch1(μV) Ch2(μV) Ch3(μV) Ch4(μV)
2.951 -271.82 -245.00 -231.97 -283.91
2.955 -262.21 -235.27 -223.07 -275.24
2.959 -242.78 -215.94 -204.12 -257.38
2.963 -231.85 -205.70 -193.79 -248.26
2.967 -246.83 -219.92 -207.54 -261.07
2.971 -270.66 -243.30 -230.54 -282.30
2.975 -262.32 -235.03 -222.78 -275.11
2.979 -242.63 -215.56 -203.22 -256.80
2.983 -230.80 -203.89 -191.31 -246.47
2.987 -241.13 -214.44 -202.04 -255.53
3.009 -231.65 -205.10 -193.30 -248.35
3.030 -247.57 -221.04 -208.43 -261.49
3.052 -270.86 -243.75 -230.45 -282.35
3.074 -261.56 -234.45 -221.84 -274.10
3.095 -242.54 -215.60 -203.22 -256.87
3.117 -231.27 -204.45 -192.25 -246.67
3.138 -249.49 -222.94 -210.24 -263.71
3.160 -270.93 -244.24 -231.50 -283.11
3.182 -262.50 -235.50 -223.67 -275.69
3.203 -242.61 -215.83 -204.12 -257.85
3.225 -229.93 -203.11 -190.73 -245.22
3.246 -250.63 -223.38 -211.02 -264.20
3.268 -271.77 -244.73 -231.56 -283.44
3.290 -260.15 -232.95 -220.37 -272.65
3.311 -241.29 -213.88 -201.99 -255.66
3.333 -231.32 -204.27 -192.14 -246.70
3.354 -249.87 -223.23 -210.58 -264.29
3.376 -270.84 -243.90 -230.65 -282.73
3.398 -259.93 -232.77 -220.14 -272.11
3.419 -241.60 -214.71 -202.73 -256.11
3.441 -232.32 -205.73 -193.41 -248.53
3.462 -251.10 -224.41 -211.69 -265.40
3.484 -270.68 -243.84 -231.45 -283.08
3.506 -262.43 -235.30 -223.16 -274.86
3.527 -240.91 -213.82 -201.52 -255.01
3.549 -232.39 -205.01 -193.36 -247.90
3.570 -247.93 -220.90 -208.07 -260.76
3.592 -270.84 -243.97 -231.09 -282.88
3.614 -261.47 -234.56 -221.93 -274.19
3.635 -241.73 -214.51 -202.31 -255.17
3.657 -230.58 -203.13 -191.09 -244.89
3.679 -251.39 -224.34 -211.85 -265.27
3.700 -270.95 -243.99 -231.32 -283.51
3.722 -261.56 -234.36 -222.06 -274.01
